Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 11:05,2022-09-02 13:45,UX1098,MAD,AMS,2022-09-20 15:00,2022-09-20 17:40,UX1093,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 11:05,2022-09-02 13:45,UX1098,MAD,AMS,2022-09-20 13:00,2022-09-20 15:40,UX3765,AMS,CPH,2022-09-20 16:50,2022-09-20 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 11:05,2022-09-02 13:45,UX1098,MAD,AMS,2022-09-20 13:00,2022-09-20 15:40,UX3765,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 11:05,2022-09-02 13:45,UX1098,MAD,AMS,2022-09-20 20:25,2022-09-20 23:00,UX3769,AMS,CPH,2022-09-21 16:50,2022-09-21 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 11:05,2022-09-02 13:45,UX1098,MAD,AMS,2022-09-20 20:25,2022-09-20 23:00,UX3769,AMS,CPH,2022-09-21 12:20,2022-09-21 13:40,UX3786
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 16:50,2022-09-20 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 12:20,2022-09-20 13:40,UX3786
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 15:00,2022-09-20 17:40,UX1093,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 13:00,2022-09-20 15:40,UX3765,AMS,CPH,2022-09-20 16:50,2022-09-20 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 13:00,2022-09-20 15:40,UX3765,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 20:25,2022-09-20 23:00,UX3769,AMS,CPH,2022-09-21 16:50,2022-09-21 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 07:40,2022-09-02 10:15,UX3766,MAD,AMS,2022-09-20 20:25,2022-09-20 23:00,UX3769,AMS,CPH,2022-09-21 12:20,2022-09-21 13:40,UX3786
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 16:50,2022-09-20 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 07:05,2022-09-20 09:45,UX1091,AMS,CPH,2022-09-20 12:20,2022-09-20 13:40,UX3786
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 15:00,2022-09-20 17:40,UX1093,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 13:00,2022-09-20 15:40,UX3765,AMS,CPH,2022-09-20 16:50,2022-09-20 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 13:00,2022-09-20 15:40,UX3765,AMS,CPH,2022-09-20 21:10,2022-09-20 22:30,UX3774
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 20:25,2022-09-20 23:00,UX3769,AMS,CPH,2022-09-21 16:50,2022-09-21 18:10,UX3771
504.38,70.38,CPH,AMS,2022-09-01 14:10,2022-09-01 15:35,UX3757,AMS,MAD,2022-09-02 09:45,2022-09-02 12:15,UX3768,MAD,AMS,2022-09-20 20:25,2022-09-20 23:00,UX3769,AMS,CPH,2022-09-21 12:20,2022-09-21 13:40,UX3786
701.13,325.13,MAD,AUH,2022-10-12 14:00,2022-10-12 23:40,UX2703,-,-,-,-,-,AUH,MAD,2022-12-19 07:30,2022-12-19 12:30,UX2702,-,-,-,-,-
